MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15520MH,1x6-20' Mahogany Grooved - Vintage Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15520MH,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15520MH",DECKING,Tyvek AGB15520MH Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15512WT,1x6-12' Weathered Teak Grooved - Vintage Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15512WT,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15512WT",DECKING,Tyvek AGB15512WT Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15516WT,1x6-16' Weathered Teak Grooved - Vintage Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15516WT,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15516WT",DECKING,Tyvek AGB15516WT Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15520WT,1x6-20' Weathered Teak Grooved - Vintage Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15520WT,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15520WT",DECKING,Tyvek AGB15520WT Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,ADB15516AW,1x6-16' American Walnut Sq Edg - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,ADB15516AW,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, ADB15516AW",DECKING,Tyvek ADB15516AW Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,ADB15520AW,1x6-20' American Walnut Sq Edg - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,ADB15520AW,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, ADB15520AW",DECKING,Tyvek ADB15520AW Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,ADB15516CG,1x6-16' Castle Gate Sq Edge - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,ADB15516CG,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, ADB15516CG",DECKING,Tyvek ADB15516CG Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,ADB15520CG,1x6-20' Castle Gate Sq Edge - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,ADB15520CG,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, ADB15520CG",DECKING,Tyvek ADB15520CG Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,ADB15516FW,1x6-16' French White Oak Sq Ed - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,ADB15516FW,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, ADB15516FW",DECKING,Tyvek ADB15516FW Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,ADB15520FW,1x6-20' French White Oak Sq Ed - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,ADB15520FW,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, ADB15520FW",DECKING,Tyvek ADB15520FW Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15512AW,1x6-12' American Walnut Groove - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15512AW,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15512AW",DECKING,Tyvek AGB15512AW Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15516AW,1x6-16' American Walnut Groove - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15516AW,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15516AW",DECKING,Tyvek AGB15516AW Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15520AW,1x6-20' American Walnut Groove - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15520AW,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15520AW",DECKING,Tyvek AGB15520AW Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15512CG,1x6-12' Castle Gate Grooved - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15512CG,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15512CG",DECKING,Tyvek AGB15512CG Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15516CG,1x6-16' Castle Gate Grooved - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15516CG,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15516CG",DECKING,Tyvek AGB15516CG Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15520CG,1x6-20' Castle Gate Grooved - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15520CG,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15520CG",DECKING,Tyvek AGB15520CG Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15512FW,1x6-12' French White Oak Groov - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15512FW,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15512FW",DECKING,Tyvek AGB15512FW Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15516FW,1x6-16' French White Oak Groov - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15516FW,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15516FW",DECKING,Tyvek AGB15516FW Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15520FW,1x6-20' French White Oak Groov - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15520FW,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15520FW",DECKING,Tyvek AGB15520FW Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,ADCB15516BS,1x6-16' Brownstone Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,ADCB15516BS,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, ADCB15516BS",DECKING,Tyvek ADCB15516BS Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,ADCB15520BS,1x6-20' Brownstone Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,ADCB15520BS,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, ADCB15520BS",DECKING,Tyvek ADCB15520BS Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,ADCB15516SG,1x6-16' Slate Gray Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,ADCB15516SG,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, ADCB15516SG",DECKING,Tyvek ADCB15516SG Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,ADCB15520SG,1x6-20' Slate Gray Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,ADCB15520SG,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, ADCB15520SG",DECKING,Tyvek ADCB15520SG Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15512BS,1x6-12' Brownstone Grooved - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15512BS,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15512BS",DECKING,Tyvek AGB15512BS Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Lumber,Decking,Composite Decking,,AGB15516BS,1x6-16' Brownstone Grooved - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),DuPont,Tyvek,,AGB15516BS,,Building Materials>Lumber & Composites>Decking & Railing,"DuPont Tyvek, Decking Board, AGB15516BS",DECKING,Tyvek AGB15516BS Decking Board,Tyvek Decking Board,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
